County/Parish,2023_Score,2024_Score,2025_Score,Pct change
Buncombe,66.3,70.98,70.99,7.073906485671189
Catawba,71.795,71.03,72.135,0.47357058290967813
Craven,80.7,78.64,77.58,-3.866171003717478
Cumberland,66.11,69.24,69.97,5.838753592497352
Durham,63.22,69.64,70.15,10.961720974375208
Forsyth,67.355,69.205,71.59,6.287580728973349
Guilford,75.04,72.48,73.08500000000001,-2.605277185501064
Lenoir,63.93,65.47,60.43,-5.474737994681683
Mecklenburg,65.995,67.015,67.59,2.4168497613455546
Moore,68.25,73.53,82.9,21.46520146520147
Nash,72.45,76.11,74.61,2.981366459627324
New Hanover,71.69,72.41,74.05,3.2919514576649456
Orange,68.39,67.96,69.11,1.0527854949554012
Pitt,66.45,61.89,61.66,-7.2084273890143065
Rowan,76.32,75.9,76.84,0.6813417190775816
Vance,66.67,70.97,71.53,7.289635518224087
Wake,68.41,69.27,69.81,2.0464844321005784
