County/Parish,2023,2024,2025,overall avg fall rate
Buncombe,0.2,0.1,0.1,0.13333333333333333
Catawba,0.0,0.65,0.0,0.21666666666666667
Craven,0.0,0.5,0.0,0.16666666666666666
Cumberland,0.0,0.2,0.2,0.13333333333333333
Durham,0.0,0.0,0.0,0.0
Forsyth,0.25,0.15,0.35,0.25
Guilford,0.0,0.1,0.0,0.03333333333333333
Lenoir,0.0,0.0,0.5,0.16666666666666666
Mecklenburg,0.1,0.0,0.16666666666666666,0.08888888888888889
Moore,0.0,0.0,0.5,0.16666666666666666
Nash,0.0,0.0,0.3,0.09999999999999999
New Hanover,0.2,0.0,0.2,0.13333333333333333
Orange,0.3,0.0,0.2,0.16666666666666666
Pitt,0.0,0.0,0.4,0.13333333333333333
Rowan,0.0,0.0,0.0,0.0
Vance,0.0,0.0,0.0,0.0
Wake,0.0,0.0,0.0,0.0
