,County/Parish,Condition,Count,Percent_Condition 2025
0,Buncombe,All other conditions,337.0,28.34314550042052
1,Buncombe,Brain disease or condition (non-traumatic),60.0,5.046257359125315
2,Buncombe,Brain injury (traumatic),79.0,6.644238856181666
3,Buncombe,Hip or femur fracture,114.0,9.5878889823381
4,Buncombe,"Hip or knee replacement, amputation or other bone or joint condition",175.0,14.71825063078217
5,Buncombe,Nervous system disorder (excluding stroke),76.0,6.3919259882254
6,Buncombe,Spinal cord disease or condition (non-traumatic),49.0,4.121110176619007
7,Buncombe,Spinal cord injury (traumatic),13.0,1.0933557611438183
8,Buncombe,Stroke,286.0,24.053826745164002
9,Catawba,All other conditions,71.0,20.22792022792023
10,Catawba,Brain disease or condition (non-traumatic),26.0,7.4074074074074066
11,Catawba,Brain injury (traumatic),13.0,3.7037037037037033
12,Catawba,Hip or femur fracture,24.0,6.837606837606838
13,Catawba,"Hip or knee replacement, amputation or other bone or joint condition",31.0,8.831908831908832
14,Catawba,Nervous system disorder (excluding stroke),37.0,10.541310541310542
15,Catawba,Spinal cord disease or condition (non-traumatic),18.0,5.128205128205128
16,Catawba,Stroke,131.0,37.32193732193732
17,Craven,All other conditions,67.0,27.459016393442624
18,Craven,Hip or femur fracture,67.0,27.459016393442624
19,Craven,"Hip or knee replacement, amputation or other bone or joint condition",25.0,10.245901639344263
20,Craven,Nervous system disorder (excluding stroke),21.0,8.60655737704918
21,Craven,Stroke,64.0,26.229508196721312
22,Cumberland,All other conditions,124.0,20.840336134453782
23,Cumberland,Brain disease or condition (non-traumatic),67.0,11.260504201680673
24,Cumberland,Brain injury (traumatic),15.0,2.5210084033613445
25,Cumberland,Hip or femur fracture,68.0,11.428571428571429
26,Cumberland,"Hip or knee replacement, amputation or other bone or joint condition",136.0,22.857142857142858
27,Cumberland,Nervous system disorder (excluding stroke),31.0,5.2100840336134455
28,Cumberland,Spinal cord disease or condition (non-traumatic),34.0,5.714285714285714
29,Cumberland,Stroke,120.0,20.168067226890756
30,Durham,All other conditions,64.0,20.06269592476489
31,Durham,Brain disease or condition (non-traumatic),18.0,5.6426332288401255
32,Durham,Hip or femur fracture,15.0,4.702194357366771
33,Durham,"Hip or knee replacement, amputation or other bone or joint condition",58.0,18.181818181818183
34,Durham,Nervous system disorder (excluding stroke),13.0,4.075235109717868
35,Durham,Spinal cord disease or condition (non-traumatic),51.0,15.987460815047022
36,Durham,Stroke,100.0,31.347962382445143
37,Forsyth,All other conditions,300.0,18.32620647525962
38,Forsyth,Brain disease or condition (non-traumatic),153.0,9.346365302382406
39,Forsyth,Brain injury (traumatic),79.0,4.825901038485034
40,Forsyth,Hip or femur fracture,108.0,6.597434331093463
41,Forsyth,"Hip or knee replacement, amputation or other bone or joint condition",286.0,17.47098350641417
42,Forsyth,Nervous system disorder (excluding stroke),118.0,7.2083078802687846
43,Forsyth,Spinal cord disease or condition (non-traumatic),76.0,4.642638973732438
44,Forsyth,Spinal cord injury (traumatic),13.0,0.794135613927917
45,Forsyth,Stroke,504.0,30.788026878436163
46,Guilford,All other conditions,122.0,15.98951507208388
47,Guilford,Brain disease or condition (non-traumatic),28.0,3.669724770642202
48,Guilford,Brain injury (traumatic),33.0,4.3250327653997385
49,Guilford,Hip or femur fracture,63.0,8.256880733944955
50,Guilford,"Hip or knee replacement, amputation or other bone or joint condition",112.0,14.678899082568808
51,Guilford,Nervous system disorder (excluding stroke),29.0,3.800786369593709
52,Guilford,Spinal cord disease or condition (non-traumatic),28.0,3.669724770642202
53,Guilford,Stroke,348.0,45.60943643512451
54,Lenoir,All other conditions,64.0,31.683168316831683
55,Lenoir,Hip or femur fracture,27.0,13.366336633663368
56,Lenoir,"Hip or knee replacement, amputation or other bone or joint condition",23.0,11.386138613861387
57,Lenoir,Nervous system disorder (excluding stroke),24.0,11.881188118811881
58,Lenoir,Stroke,64.0,31.683168316831683
59,Mecklenburg,All other conditions,646.0,26.313645621181266
60,Mecklenburg,Brain disease or condition (non-traumatic),197.0,8.024439918533604
61,Mecklenburg,Brain injury (traumatic),128.0,5.213849287169043
62,Mecklenburg,Hip or femur fracture,122.0,4.969450101832994
63,Mecklenburg,"Hip or knee replacement, amputation or other bone or joint condition",277.0,11.283095723014256
64,Mecklenburg,Nervous system disorder (excluding stroke),98.0,3.9918533604887987
65,Mecklenburg,Spinal cord disease or condition (non-traumatic),195.0,7.942973523421588
66,Mecklenburg,Spinal cord injury (traumatic),47.0,1.9144602851323826
67,Mecklenburg,Stroke,745.0,30.346232179226067
68,Moore,All other conditions,24.0,14.545454545454545
69,Moore,Hip or femur fracture,21.0,12.727272727272727
70,Moore,"Hip or knee replacement, amputation or other bone or joint condition",38.0,23.03030303030303
71,Moore,Stroke,82.0,49.696969696969695
72,Nash,All other conditions,84.0,22.76422764227642
73,Nash,Hip or femur fracture,66.0,17.88617886178862
74,Nash,"Hip or knee replacement, amputation or other bone or joint condition",91.0,24.661246612466126
75,Nash,Stroke,128.0,34.68834688346883
76,New Hanover,All other conditions,155.0,24.2566510172144
77,New Hanover,Brain disease or condition (non-traumatic),42.0,6.572769953051644
78,New Hanover,Brain injury (traumatic),34.0,5.320813771517996
79,New Hanover,Hip or femur fracture,71.0,11.11111111111111
80,New Hanover,"Hip or knee replacement, amputation or other bone or joint condition",75.0,11.737089201877934
81,New Hanover,Spinal cord disease or condition (non-traumatic),70.0,10.954616588419405
82,New Hanover,Spinal cord injury (traumatic),17.0,2.660406885758998
83,New Hanover,Stroke,175.0,27.386541471048513
84,Orange,All other conditions,152.0,29.40038684719536
85,Orange,Brain disease or condition (non-traumatic),44.0,8.51063829787234
86,Orange,Brain injury (traumatic),20.0,3.8684719535783367
87,Orange,Hip or femur fracture,27.0,5.222437137330754
88,Orange,"Hip or knee replacement, amputation or other bone or joint condition",77.0,14.893617021276595
89,Orange,Nervous system disorder (excluding stroke),25.0,4.835589941972921
90,Orange,Spinal cord disease or condition (non-traumatic),40.0,7.7369439071566735
91,Orange,Spinal cord injury (traumatic),13.0,2.5145067698259185
92,Orange,Stroke,119.0,23.017408123791103
93,Pitt,All other conditions,275.0,26.49325626204239
94,Pitt,Brain disease or condition (non-traumatic),72.0,6.9364161849710975
95,Pitt,Brain injury (traumatic),78.0,7.514450867052023
96,Pitt,Hip or femur fracture,62.0,5.973025048169557
97,Pitt,"Hip or knee replacement, amputation or other bone or joint condition",151.0,14.547206165703274
98,Pitt,Nervous system disorder (excluding stroke),48.0,4.624277456647398
99,Pitt,Spinal cord disease or condition (non-traumatic),47.0,4.527938342967245
100,Pitt,Spinal cord injury (traumatic),18.0,1.7341040462427744
101,Pitt,Stroke,287.0,27.64932562620424
102,Rowan,Hip or femur fracture,13.0,10.743801652892563
103,Rowan,"Hip or knee replacement, amputation or other bone or joint condition",14.0,11.570247933884298
104,Rowan,Nervous system disorder (excluding stroke),50.0,41.32231404958678
105,Rowan,Spinal cord disease or condition (non-traumatic),12.0,9.917355371900827
106,Rowan,Stroke,32.0,26.446280991735538
107,Vance,All other conditions,49.0,30.81761006289308
108,Vance,Hip or femur fracture,32.0,20.125786163522015
109,Vance,"Hip or knee replacement, amputation or other bone or joint condition",23.0,14.465408805031446
110,Vance,Stroke,55.0,34.59119496855346
111,Wake,All other conditions,150.0,16.81614349775785
112,Wake,Brain disease or condition (non-traumatic),56.0,6.278026905829597
113,Wake,Brain injury (traumatic),52.0,5.829596412556054
114,Wake,Hip or femur fracture,76.0,8.520179372197308
115,Wake,"Hip or knee replacement, amputation or other bone or joint condition",156.0,17.48878923766816
116,Wake,Nervous system disorder (excluding stroke),38.0,4.260089686098654
117,Wake,Spinal cord disease or condition (non-traumatic),70.0,7.847533632286996
118,Wake,Spinal cord injury (traumatic),33.0,3.6995515695067267
119,Wake,Stroke,261.0,29.260089686098656
