CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City,State,Zip Code,County Name,PhoneNumber,CMS Region,Condition,Count,Footnote
013025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,04,Stroke,338,
013025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,04,Nervous system disorder (excluding stroke),426,
013025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,04,Brain disease or condition (non-traumatic),173,
013025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,04,Brain injury (traumatic),64,
013025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,04,Spinal cord disease or condition (non-traumatic),97,
013025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,04,Spinal cord injury (traumatic),13,
013025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,04,Hip or femur fracture,222,
013025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,04,"Hip or knee replacement, amputation or other bone or joint condition",455,
013025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,04,All other conditions,478,
013028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,04,Stroke,374,
013028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,04,Nervous system disorder (excluding stroke),272,
