CMS Certification Number (CCN),Provider Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Condition,Count,Footnote
343025,CAREPARTNERS REHABILITATION HOSPITAL,68 SWEETEN CREEK RD,-,ASHEVILLE,NC,28813,Buncombe,(828) 274-2400,4,All other conditions,337,-
343025,CAREPARTNERS REHABILITATION HOSPITAL,68 SWEETEN CREEK RD,-,ASHEVILLE,NC,28813,Buncombe,(828) 274-2400,4,Brain disease or condition (non-traumatic),60,-
343025,CAREPARTNERS REHABILITATION HOSPITAL,68 SWEETEN CREEK RD,-,ASHEVILLE,NC,28813,Buncombe,(828) 274-2400,4,Brain injury (traumatic),79,-
343025,CAREPARTNERS REHABILITATION HOSPITAL,68 SWEETEN CREEK RD,-,ASHEVILLE,NC,28813,Buncombe,(828) 274-2400,4,Hip or femur fracture,114,-
343025,CAREPARTNERS REHABILITATION HOSPITAL,68 SWEETEN CREEK RD,-,ASHEVILLE,NC,28813,Buncombe,(828) 274-2400,4,"Hip or knee replacement, amputation or other bone or joint condition",175,-
343025,CAREPARTNERS REHABILITATION HOSPITAL,68 SWEETEN CREEK RD,-,ASHEVILLE,NC,28813,Buncombe,(828) 274-2400,4,Nervous system disorder (excluding stroke),76,-
343025,CAREPARTNERS REHABILITATION HOSPITAL,68 SWEETEN CREEK RD,-,ASHEVILLE,NC,28813,Buncombe,(828) 274-2400,4,Spinal cord disease or condition (non-traumatic),49,-
343025,CAREPARTNERS REHABILITATION HOSPITAL,68 SWEETEN CREEK RD,-,ASHEVILLE,NC,28813,Buncombe,(828) 274-2400,4,Spinal cord injury (traumatic),13,-
343025,CAREPARTNERS REHABILITATION HOSPITAL,68 SWEETEN CREEK RD,-,ASHEVILLE,NC,28813,Buncombe,(828) 274-2400,4,Stroke,286,-
343026,CAROLINAS REHABILITATION,1100 BLYTHE BOULEVARD,-,CHARLOTTE,NC,28203,Mecklenburg,(704) 355-4370,4,All other conditions,494,-
343026,CAROLINAS REHABILITATION,1100 BLYTHE BOULEVARD,-,CHARLOTTE,NC,28203,Mecklenburg,(704) 355-4370,4,Brain disease or condition (non-traumatic),161,-
343026,CAROLINAS REHABILITATION,1100 BLYTHE BOULEVARD,-,CHARLOTTE,NC,28203,Mecklenburg,(704) 355-4370,4,Brain injury (traumatic),102,-
343026,CAROLINAS REHABILITATION,1100 BLYTHE BOULEVARD,-,CHARLOTTE,NC,28203,Mecklenburg,(704) 355-4370,4,Hip or femur fracture,78,-
343026,CAROLINAS REHABILITATION,1100 BLYTHE BOULEVARD,-,CHARLOTTE,NC,28203,Mecklenburg,(704) 355-4370,4,"Hip or knee replacement, amputation or other bone or joint condition",208,-
343026,CAROLINAS REHABILITATION,1100 BLYTHE BOULEVARD,-,CHARLOTTE,NC,28203,Mecklenburg,(704) 355-4370,4,Nervous system disorder (excluding stroke),43,-
343026,CAROLINAS REHABILITATION,1100 BLYTHE BOULEVARD,-,CHARLOTTE,NC,28203,Mecklenburg,(704) 355-4370,4,Spinal cord disease or condition (non-traumatic),150,-
343026,CAROLINAS REHABILITATION,1100 BLYTHE BOULEVARD,-,CHARLOTTE,NC,28203,Mecklenburg,(704) 355-4370,4,Spinal cord injury (traumatic),47,-
343026,CAROLINAS REHABILITATION,1100 BLYTHE BOULEVARD,-,CHARLOTTE,NC,28203,Mecklenburg,(704) 355-4370,4,Stroke,546,-
343027,NOVANT HEALTH REHABILITATION HOSPITAL,2475 HILLCREST CENTER CIRCLE,-,WINSTON-SALEM,NC,27103,Forsyth,(336) 754-3500,4,All other conditions,250,-
343027,NOVANT HEALTH REHABILITATION HOSPITAL,2475 HILLCREST CENTER CIRCLE,-,WINSTON-SALEM,NC,27103,Forsyth,(336) 754-3500,4,Brain disease or condition (non-traumatic),124,-
343027,NOVANT HEALTH REHABILITATION HOSPITAL,2475 HILLCREST CENTER CIRCLE,-,WINSTON-SALEM,NC,27103,Forsyth,(336) 754-3500,4,Brain injury (traumatic),64,-
343027,NOVANT HEALTH REHABILITATION HOSPITAL,2475 HILLCREST CENTER CIRCLE,-,WINSTON-SALEM,NC,27103,Forsyth,(336) 754-3500,4,Hip or femur fracture,74,-
343027,NOVANT HEALTH REHABILITATION HOSPITAL,2475 HILLCREST CENTER CIRCLE,-,WINSTON-SALEM,NC,27103,Forsyth,(336) 754-3500,4,"Hip or knee replacement, amputation or other bone or joint condition",197,-
343027,NOVANT HEALTH REHABILITATION HOSPITAL,2475 HILLCREST CENTER CIRCLE,-,WINSTON-SALEM,NC,27103,Forsyth,(336) 754-3500,4,Nervous system disorder (excluding stroke),118,-
343027,NOVANT HEALTH REHABILITATION HOSPITAL,2475 HILLCREST CENTER CIRCLE,-,WINSTON-SALEM,NC,27103,Forsyth,(336) 754-3500,4,Spinal cord disease or condition (non-traumatic),38,-
343027,NOVANT HEALTH REHABILITATION HOSPITAL,2475 HILLCREST CENTER CIRCLE,-,WINSTON-SALEM,NC,27103,Forsyth,(336) 754-3500,4,Spinal cord injury (traumatic),Less than 11,1
343027,NOVANT HEALTH REHABILITATION HOSPITAL,2475 HILLCREST CENTER CIRCLE,-,WINSTON-SALEM,NC,27103,Forsyth,(336) 754-3500,4,Stroke,399,-
34T004,HIGH POINT REGIONAL HOSPITAL,601 N ELM ST,-,HIGH POINT,NC,27262,Guilford,(336) 878-6442,4,All other conditions,32,-
34T004,HIGH POINT REGIONAL HOSPITAL,601 N ELM ST,-,HIGH POINT,NC,27262,Guilford,(336) 878-6442,4,Brain disease or condition (non-traumatic),Less than 11,1
34T004,HIGH POINT REGIONAL HOSPITAL,601 N ELM ST,-,HIGH POINT,NC,27262,Guilford,(336) 878-6442,4,Brain injury (traumatic),Less than 11,1
34T004,HIGH POINT REGIONAL HOSPITAL,601 N ELM ST,-,HIGH POINT,NC,27262,Guilford,(336) 878-6442,4,Hip or femur fracture,32,-
34T004,HIGH POINT REGIONAL HOSPITAL,601 N ELM ST,-,HIGH POINT,NC,27262,Guilford,(336) 878-6442,4,"Hip or knee replacement, amputation or other bone or joint condition",29,-
34T004,HIGH POINT REGIONAL HOSPITAL,601 N ELM ST,-,HIGH POINT,NC,27262,Guilford,(336) 878-6442,4,Nervous system disorder (excluding stroke),Less than 11,1
34T004,HIGH POINT REGIONAL HOSPITAL,601 N ELM ST,-,HIGH POINT,NC,27262,Guilford,(336) 878-6442,4,Spinal cord disease or condition (non-traumatic),Less than 11,1
34T004,HIGH POINT REGIONAL HOSPITAL,601 N ELM ST,-,HIGH POINT,NC,27262,Guilford,(336) 878-6442,4,Spinal cord injury (traumatic),Not Available,2
34T004,HIGH POINT REGIONAL HOSPITAL,601 N ELM ST,-,HIGH POINT,NC,27262,Guilford,(336) 878-6442,4,Stroke,68,-
34T008,CENTER FOR INPATIENT REHAB,500 LAUCHWOOD DR,-,LAURINBURG,NC,28352,Scotland,(910) 291-7327,4,All other conditions,Not Available,2
34T008,CENTER FOR INPATIENT REHAB,500 LAUCHWOOD DR,-,LAURINBURG,NC,28352,Scotland,(910) 291-7327,4,Brain disease or condition (non-traumatic),Not Available,2
34T008,CENTER FOR INPATIENT REHAB,500 LAUCHWOOD DR,-,LAURINBURG,NC,28352,Scotland,(910) 291-7327,4,Brain injury (traumatic),Not Available,2
34T008,CENTER FOR INPATIENT REHAB,500 LAUCHWOOD DR,-,LAURINBURG,NC,28352,Scotland,(910) 291-7327,4,Hip or femur fracture,Not Available,2
34T008,CENTER FOR INPATIENT REHAB,500 LAUCHWOOD DR,-,LAURINBURG,NC,28352,Scotland,(910) 291-7327,4,"Hip or knee replacement, amputation or other bone or joint condition",Not Available,2
34T008,CENTER FOR INPATIENT REHAB,500 LAUCHWOOD DR,-,LAURINBURG,NC,28352,Scotland,(910) 291-7327,4,Nervous system disorder (excluding stroke),Not Available,2
34T008,CENTER FOR INPATIENT REHAB,500 LAUCHWOOD DR,-,LAURINBURG,NC,28352,Scotland,(910) 291-7327,4,Spinal cord disease or condition (non-traumatic),Not Available,2
34T008,CENTER FOR INPATIENT REHAB,500 LAUCHWOOD DR,-,LAURINBURG,NC,28352,Scotland,(910) 291-7327,4,Spinal cord injury (traumatic),Not Available,2
