CMS Certification Number (CCN),Measure Code,Score,Footnote,Start Date,End Date,Measure Date Range
NATION,I_006_01_NATL_SIR,1.077,-,7/1/2021,6/30/2022,-
NATION,I_008_02_NATL_OBS_RATE,99.9,-,10/1/2021,9/30/2022,-
NATION,I_009_04_NATL_OBS_RATE,13.2,-,10/1/2021,9/30/2022,-
NATION,I_010_04_NATL_OBS_RATE,32,-,10/1/2021,9/30/2022,-
NATION,I_011_04_NATL_OBS_RATE,62.2,-,10/1/2021,9/30/2022,-
NATION,I_012_04_NATL_OBS_RATE,61.3,-,10/1/2021,9/30/2022,-
NATION,I_013_01_NATL_OBS_RATE,0.1,-,10/1/2021,9/30/2022,-
NATION,I_015_01_NATL_SIR,0.482,-,7/1/2021,6/30/2022,-
NATION,I_016_01_NATL_OBS_RATE,81.6,-,10/1/2021,3/31/2022,-
NATION,I_017_01_PPR_PD_NATL_OBS_RATE,6.76,-,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_017_01_PPR_PD_N_BETTER_NATL,4,-,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_017_01_PPR_PD_N_NO_DIFF_NATL,"1,095",-,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_017_01_PPR_PD_N_TOO_SMALL,36,-,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_017_01_PPR_PD_N_WORSE_NATL,16,-,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_018_01_PPR_WI_NATL_OBS_RATE,4.24,-,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_018_01_PPR_WI_N_BETTER_NATL,7,-,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_018_01_PPR_WI_N_NO_DIFF_NATL,"1,094",-,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_018_01_PPR_WI_N_TOO_SMALL,25,-,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_018_01_PPR_WI_N_WORSE_NATL,25,-,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_019_02_DTC_NATL_OBS_RATE,66.21,-,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_019_02_DTC_N_BETTER_NATL,116,-,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_019_02_DTC_N_NO_DIFF_NATL,877,-,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_019_02_DTC_N_TOO_SMALL,40,-,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_019_02_DTC_N_WORSE_NATL,117,-,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_020_01_NATL_MSPB_SCORE,1,-,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_021_01_NATL_OBS_RATE,97.9,-,10/1/2021,9/30/2022,-
NATION,I_022_01_NATL_OBS_RATE,1.2,-,10/1/2021,9/30/2022,-
NATION,I_023_01_NATL_OBS_RATE,88.9,-,7/1/2022,9/30/2022,-
