CMS Certification Number (CCN),Measure Code,Score,Footnote,Start Date,End Date,Measure Date Range
NATION,I_006_01_NATL_SIR,1.096,-,7/1/2023,6/30/2024,-
NATION,I_011_05_NATL_OBS_RATE,62.6,-,10/1/2023,9/30/2024,-
NATION,I_012_05_NATL_OBS_RATE,60.6,-,10/1/2023,9/30/2024,-
NATION,I_013_01_NATL_OBS_RATE,0.2,-,10/1/2023,9/30/2024,-
NATION,I_015_01_NATL_SIR,0.366,-,7/1/2023,6/30/2024,-
NATION,I_016_01_NATL_OBS_RATE,79.1,-,10/1/2023,3/31/2024,-
NATION,I_017_01_PPR_PD_NATL_OBS_RATE,8.9,-,10/1/2021,9/30/2023,-
NATION,I_017_01_PPR_PD_N_BETTER_NATL,11,-,10/1/2021,9/30/2023,-
NATION,I_017_01_PPR_PD_N_NO_DIFF_NATL,"1,105",-,10/1/2021,9/30/2023,-
NATION,I_017_01_PPR_PD_N_TOO_SMALL,23,-,10/1/2021,9/30/2023,-
NATION,I_017_01_PPR_PD_N_WORSE_NATL,41,-,10/1/2021,9/30/2023,-
NATION,I_018_01_PPR_WI_NATL_OBS_RATE,4.75,-,10/1/2021,9/30/2023,-
NATION,I_018_01_PPR_WI_N_BETTER_NATL,30,-,10/1/2021,9/30/2023,-
NATION,I_018_01_PPR_WI_N_NO_DIFF_NATL,"1,040",-,10/1/2021,9/30/2023,-
NATION,I_018_01_PPR_WI_N_TOO_SMALL,22,-,10/1/2021,9/30/2023,-
NATION,I_018_01_PPR_WI_N_WORSE_NATL,88,-,10/1/2021,9/30/2023,-
NATION,I_019_02_DTC_NATL_OBS_RATE,66.95,-,10/1/2021,9/30/2023,-
NATION,I_019_02_DTC_N_BETTER_NATL,238,-,10/1/2021,9/30/2023,-
NATION,I_019_02_DTC_N_NO_DIFF_NATL,710,-,10/1/2021,9/30/2023,-
NATION,I_019_02_DTC_N_TOO_SMALL,24,-,10/1/2021,9/30/2023,-
NATION,I_019_02_DTC_N_WORSE_NATL,208,-,10/1/2021,9/30/2023,-
NATION,I_020_01_NATL_MSPB_SCORE,1,-,10/1/2021,9/30/2023,-
NATION,I_021_01_NATL_OBS_RATE,98.2,-,10/1/2023,9/30/2024,-
NATION,I_022_01_NATL_OBS_RATE,1,-,10/1/2023,9/30/2024,-
NATION,I_023_02_NATL_OBS_RATE,9.6,-,7/1/2024,9/30/2024,-
NATION,I_024_01_NATL_OBS_RATE,96.4,-,10/1/2023,9/30/2024,-
NATION,I_025_02_NATL_OBS_RATE,98.3,-,10/1/2023,9/30/2024,-
NATION,I_026_01_NATL_OBS_RATE,56.86,-,10/1/2023,9/30/2024,-
