County,Year,Hispanic/Race,Sex,Age Group,Value,Estimate/Projection,vintage,fips
Alamance,2024,NHWhite,Male,Population Age 65-69,3277,Projection,2024,37001
Alamance,2024,Hispanic,Male,Population Age 70-74,166,Projection,2024,37001
Alexander,2024,NHOther,Female,Population Age 70-74,113,Projection,2024,37003
Avery,2024,NHWhite,Male,Population Age 80-84,249,Projection,2024,37011
Alleghany,2024,NHOther,Male,Population Age 70-74,17,Projection,2024,37005
Anson,2024,NHWhite,Female,Population Age 70-74,303,Projection,2024,37007
Anson,2024,Hispanic,Female,Population Age 75-79,1,Projection,2024,37007
Anson,2024,Hispanic,Male,Population Age 75-79,2,Projection,2024,37007
Martin,2024,NHOther,Female,Population Age 70-74,422,Projection,2024,37117
Harnett,2024,NHWhite,Male,Population Age 80-84,762,Projection,2024,37085
Franklin,2024,NHWhite,Male,Population Age 70-74,1314,Projection,2024,37069
Montgomery,2024,NHWhite,Male,Population Age 80-84,261,Projection,2024,37123
Montgomery,2024,Hispanic,Female,Population Age 65-69,25,Projection,2024,37123
Moore,2024,NHOther,Male,Population Age 65-69,528,Projection,2024,37125
Lee,2024,NHOther,Female,Population Age 80-84,138,Projection,2024,37105
Lincoln,2024,Hispanic,Female,Population Age 65-69,87,Projection,2024,37109
Durham,2024,NHOther,Female,Population Age 75-79,2267,Projection,2024,37063
Camden,2024,NHOther,Female,Population Age 75-79,46,Projection,2024,37029
Gates,2024,NHWhite,Female,Population Age 70-74,176,Projection,2024,37073
Duplin,2024,NHWhite,Male,Population Age 65-69,852,Projection,2024,37061
Montgomery,2024,NHWhite,Female,Population Age 65-69,739,Projection,2024,37123
Buncombe,2024,NHWhite,Male,Population Age 80-84,2828,Projection,2024,37021
Alexander,2024,NHOther,Male,Population Age 65-69,73,Projection,2024,37003
Lenoir,2024,NHOther,Male,Population Age 80-84,164,Projection,2024,37107
Cumberland,2024,NHWhite,Male,Population Age 80-84,1018,Projection,2024,37051
Johnston,2024,NHWhite,Male,Population Age 75-79,2460,Projection,2024,37101
Johnston,2024,Hispanic,Female,Population Age 80-84,43,Projection,2024,37101
Alamance,2024,NHWhite,Male,Population Age 75-79,2046,Projection,2024,37001
Camden,2024,Hispanic,Female,Population Age 80-84,2,Projection,2024,37029
Haywood,2024,NHOther,Female,Population Age 80-84,30,Projection,2024,37087
Northampton,2024,NHWhite,Female,Population Age 75-79,315,Projection,2024,37131
Hoke,2024,Hispanic,Female,Population Age 80-84,11,Projection,2024,37093
Montgomery,2024,Hispanic,Female,Population Age 75-79,7,Projection,2024,37123
Davie,2024,NHWhite,Male,Population Age 65-69,1261,Projection,2024,37059
Hoke,2024,Hispanic,Female,Population Age 75-79,24,Projection,2024,37093
Johnston,2024,Hispanic,Female,Population Age 75-79,102,Projection,2024,37101
Beaufort,2024,NHWhite,Female,Population Age 70-74,1297,Projection,2024,37013
Currituck,2024,NHWhite,Male,Population Age 65-69,1001,Projection,2024,37053
Robeson,2024,NHWhite,Male,Population Age 65-69,933,Projection,2024,37155
Caldwell,2024,NHWhite,Female,Population Age 70-74,2318,Projection,2024,37027
Hyde,2024,NHWhite,Male,Population Age 70-74,124,Projection,2024,37095
Hyde,2024,NHOther,Male,Population Age 65-69,45,Projection,2024,37095
Franklin,2024,Hispanic,Female,Population Age 80-84,24,Projection,2024,37069
Jones,2024,NHWhite,Female,Population Age 80-84,90,Projection,2024,37103
Jones,2024,Hispanic,Male,Population Age 80-84,0,Projection,2024,37103
Jones,2024,NHOther,Female,Population Age 65-69,169,Projection,2024,37103
Cumberland,2024,Hispanic,Female,Population Age 70-74,292,Projection,2024,37051
Currituck,2024,NHWhite,Male,Population Age 70-74,702,Projection,2024,37053
Carteret,2024,NHOther,Female,Population Age 70-74,226,Projection,2024,37031
Iredell,2024,Hispanic,Female,Population Age 80-84,49,Projection,2024,37097
Iredell,2024,Hispanic,Male,Population Age 65-69,238,Projection,2024,37097
Ashe,2024,NHOther,Female,Population Age 80-84,11,Projection,2024,37009
Gates,2024,NHWhite,Female,Population Age 80-84,108,Projection,2024,37073
Beaufort,2024,NHWhite,Female,Population Age 75-79,1071,Projection,2024,37013
Alexander,2024,NHOther,Female,Population Age 75-79,81,Projection,2024,37003
Columbus,2024,NHOther,Female,Population Age 80-84,231,Projection,2024,37047
Person,2024,NHOther,Female,Population Age 70-74,437,Projection,2024,37145
Bladen,2024,Hispanic,Male,Population Age 65-69,33,Projection,2024,37017
McDowell,2024,Hispanic,Female,Population Age 65-69,18,Projection,2024,37111
McDowell,2024,Hispanic,Male,Population Age 80-84,7,Projection,2024,37111
Sampson,2024,NHOther,Female,Population Age 80-84,221,Projection,2024,37163
Alleghany,2024,Hispanic,Female,Population Age 70-74,9,Projection,2024,37005
Hoke,2024,NHWhite,Female,Population Age 70-74,416,Projection,2024,37093
Hoke,2024,NHOther,Female,Population Age 80-84,182,Projection,2024,37093
Duplin,2024,NHOther,Male,Population Age 70-74,305,Projection,2024,37061
Craven,2024,Hispanic,Male,Population Age 80-84,7,Projection,2024,37049
Mecklenburg,2024,Hispanic,Male,Population Age 75-79,706,Projection,2024,37119
Mitchell,2024,Hispanic,Female,Population Age 75-79,3,Projection,2024,37121
Rockingham,2024,Hispanic,Female,Population Age 75-79,19,Projection,2024,37157
Graham,2024,NHWhite,Female,Population Age 70-74,272,Projection,2024,37075
Granville,2024,NHOther,Male,Population Age 80-84,228,Projection,2024,37077
Jones,2024,NHOther,Female,Population Age 80-84,69,Projection,2024,37103
Buncombe,2024,Hispanic,Female,Population Age 65-69,255,Projection,2024,37021
Lincoln,2024,NHWhite,Female,Population Age 75-79,1923,Projection,2024,37109
Lincoln,2024,NHWhite,Male,Population Age 70-74,2200,Projection,2024,37109
Ashe,2024,NHOther,Male,Population Age 80-84,4,Projection,2024,37009
Cabarrus,2024,NHWhite,Male,Population Age 80-84,1412,Projection,2024,37025
Montgomery,2024,NHWhite,Female,Population Age 70-74,680,Projection,2024,37123
Stanly,2024,NHOther,Male,Population Age 65-69,251,Projection,2024,37167
Forsyth,2024,Hispanic,Male,Population Age 70-74,335,Projection,2024,37067
Buncombe,2024,Hispanic,Female,Population Age 70-74,222,Projection,2024,37021
Buncombe,2024,Hispanic,Female,Population Age 80-84,52,Projection,2024,37021
Chatham,2024,NHOther,Female,Population Age 75-79,390,Projection,2024,37037
Hyde,2024,Hispanic,Female,Population Age 70-74,1,Projection,2024,37095
Cherokee,2024,Hispanic,Male,Population Age 65-69,21,Projection,2024,37039
Perquimans,2024,NHWhite,Male,Population Age 80-84,198,Projection,2024,37143
Avery,2024,Hispanic,Female,Population Age 65-69,4,Projection,2024,37011
Craven,2024,Hispanic,Male,Population Age 65-69,80,Projection,2024,37049
Iredell,2024,NHOther,Male,Population Age 80-84,167,Projection,2024,37097
Alexander,2024,NHWhite,Male,Population Age 70-74,833,Projection,2024,37003
Harnett,2024,NHWhite,Female,Population Age 75-79,1617,Projection,2024,37085
Beaufort,2024,Hispanic,Male,Population Age 70-74,19,Projection,2024,37013
Brunswick,2024,Hispanic,Male,Population Age 70-74,187,Projection,2024,37019
New Hanover,2024,NHWhite,Female,Population Age 70-74,6178,Projection,2024,37129
Mecklenburg,2024,NHOther,Female,Population Age 70-74,8743,Projection,2024,37119
Davidson,2024,Hispanic,Female,Population Age 80-84,19,Projection,2024,37057
Jones,2024,NHOther,Male,Population Age 75-79,65,Projection,2024,37103
Gaston,2024,NHOther,Male,Population Age 65-69,1088,Projection,2024,37071
Guilford,2024,NHOther,Male,Population Age 75-79,2199,Projection,2024,37081
Macon,2024,Hispanic,Male,Population Age 80-84,15,Projection,2024,37113
Macon,2024,NHOther,Female,Population Age 80-84,23,Projection,2024,37113
Duplin,2024,NHOther,Female,Population Age 70-74,544,Projection,2024,37061
Buncombe,2024,Hispanic,Male,Population Age 65-69,269,Projection,2024,37021
Buncombe,2024,Hispanic,Male,Population Age 80-84,54,Projection,2024,37021
Carteret,2024,NHOther,Male,Population Age 80-84,71,Projection,2024,37031
Gates,2024,NHOther,Female,Population Age 70-74,152,Projection,2024,37073
Mecklenburg,2024,Hispanic,Female,Population Age 70-74,1699,Projection,2024,37119
Craven,2024,NHWhite,Female,Population Age 70-74,2547,Projection,2024,37049
Alexander,2024,Hispanic,Female,Population Age 80-84,7,Projection,2024,37003
Granville,2024,NHWhite,Female,Population Age 80-84,415,Projection,2024,37077
Madison,2024,NHOther,Male,Population Age 75-79,11,Projection,2024,37115
