,County/Parish,Condition,Count,Percent_Condition
0,Buncombe,Stroke,332.0,28.0168776371308
1,Catawba,Stroke,75.0,44.91017964071856
2,Craven,Stroke,68.0,30.909090909090907
3,Cumberland,Stroke,136.0,25.13863216266174
4,Durham,Stroke,76.0,27.73722627737226
5,Forsyth,Stroke,460.0,31.636863823933975
6,Guilford,Stroke,299.0,42.471590909090914
7,Lenoir,Stroke,60.0,46.15384615384615
8,Mecklenburg,Stroke,646.0,28.877961555654895
9,Moore,Stroke,54.0,44.26229508196721
10,Nash,Stroke,122.0,33.33333333333333
11,New Hanover,Stroke,215.0,37.26169844020797
12,Orange,All other conditions,85.0,28.428093645484946
13,Pitt,Stroke,251.0,29.739336492890995
14,Rowan,Nervous system disorder (excluding stroke),35.0,24.137931034482758
15,Vance,Stroke,37.0,33.33333333333333
16,Wake,Stroke,299.0,29.516288252714705
