County;Year;Hispanic/Race;Sex;Age Group;Value;Estimate/Projection;vintage;fips
Alamance;2024;NHWhite;Male;Population Age 65-69;3277.0;Projection;2024;37001
Alamance;2024;Hispanic;Male;Population Age 70-74;166.0;Projection;2024;37001
Alexander;2024;NHOther;Female;Population Age 70-74;113.0;Projection;2024;37003
Beaufort;2025;NHWhite;Female;Population Age 75-79;1100.0;Projection;2024;37013
Alleghany;2023;NHWhite;Male;Population Age 75-79;283.0;Estimate;2023;37005
Alleghany;2024;NHOther;Male;Population Age 70-74;17.0;Projection;2024;37005
Alleghany;2023;NHWhite;Female;Population Age 70-74;438.0;Estimate;2023;37005
Anson;2023;NHWhite;Male;Population Age 75-79;271.0;Estimate;2023;37007
Anson;2024;NHWhite;Female;Population Age 70-74;303.0;Projection;2024;37007
Anson;2023;Hispanic;Male;Population Age 75-79;2.0;Estimate;2023;37007
Anson;2024;Hispanic;Female;Population Age 75-79;1.0;Projection;2024;37007
Anson;2024;Hispanic;Male;Population Age 75-79;2.0;Projection;2024;37007
Ashe;2023;NHOther;Female;Population Age 65-69;36.0;Estimate;2023;37009
Ashe;2025;NHWhite;Female;Population Age 75-79;946.0;Projection;2024;37009
Alamance;2023;NHOther;Female;Population Age 65-69;1387.0;Estimate;2023;37001
Alamance;2023;NHOther;Female;Population Age 70-74;1065.0;Estimate;2023;37001
Martin;2023;Hispanic;Male;Population Age 65-69;13.0;Estimate;2023;37117
Martin;2024;NHOther;Female;Population Age 70-74;422.0;Projection;2024;37117
Franklin;2024;NHWhite;Male;Population Age 70-74;1314.0;Projection;2024;37069
Montgomery;2024;Hispanic;Female;Population Age 65-69;25.0;Projection;2024;37123
Moore;2024;NHOther;Male;Population Age 65-69;528.0;Projection;2024;37125
Alexander;2025;NHOther;Male;Population Age 75-79;41.0;Projection;2024;37003
Lincoln;2024;Hispanic;Female;Population Age 65-69;87.0;Projection;2024;37109
Martin;2023;Hispanic;Female;Population Age 65-69;8.0;Estimate;2023;37117
Durham;2023;NHWhite;Male;Population Age 70-74;3502.0;Estimate;2023;37063
Durham;2023;NHOther;Female;Population Age 70-74;3453.0;Estimate;2023;37063
Durham;2024;NHOther;Female;Population Age 75-79;2267.0;Projection;2024;37063
Durham;2025;Hispanic;Female;Population Age 75-79;242.0;Projection;2024;37063
