County,Year,Hispanic/Race,Sex,Age Group,Value,Estimate/Projection,vintage,fips
Alamance,2024,NHWhite,Male,Population Age 65-69,3277,Projection,2024,37001
Alamance,2024,Hispanic,Male,Population Age 70-74,166,Projection,2024,37001
Alexander,2024,NHOther,Female,Population Age 70-74,113,Projection,2024,37003
Beaufort,2025,NHWhite,Female,Population Age 75-79,1100,Projection,2024,37013
Alleghany,2023,NHWhite,Male,Population Age 75-79,283,Estimate,2023,37005
Alleghany,2024,NHOther,Male,Population Age 70-74,17,Projection,2024,37005
Alleghany,2023,NHWhite,Female,Population Age 70-74,438,Estimate,2023,37005
Anson,2023,NHWhite,Male,Population Age 75-79,271,Estimate,2023,37007
Anson,2024,NHWhite,Female,Population Age 70-74,303,Projection,2024,37007
Anson,2023,Hispanic,Male,Population Age 75-79,2,Estimate,2023,37007
Anson,2024,Hispanic,Female,Population Age 75-79,1,Projection,2024,37007
Anson,2024,Hispanic,Male,Population Age 75-79,2,Projection,2024,37007
Ashe,2023,NHOther,Female,Population Age 65-69,36,Estimate,2023,37009
Ashe,2025,NHWhite,Female,Population Age 75-79,946,Projection,2024,37009
Alamance,2023,NHOther,Female,Population Age 65-69,1387,Estimate,2023,37001
Alamance,2023,NHOther,Female,Population Age 70-74,1065,Estimate,2023,37001
Martin,2023,Hispanic,Male,Population Age 65-69,13,Estimate,2023,37117
Martin,2024,NHOther,Female,Population Age 70-74,422,Projection,2024,37117
Franklin,2024,NHWhite,Male,Population Age 70-74,1314,Projection,2024,37069
Montgomery,2024,Hispanic,Female,Population Age 65-69,25,Projection,2024,37123
Moore,2024,NHOther,Male,Population Age 65-69,528,Projection,2024,37125
Alexander,2025,NHOther,Male,Population Age 75-79,41,Projection,2024,37003
Lincoln,2024,Hispanic,Female,Population Age 65-69,87,Projection,2024,37109
Martin,2023,Hispanic,Female,Population Age 65-69,8,Estimate,2023,37117
Durham,2023,NHWhite,Male,Population Age 70-74,3502,Estimate,2023,37063
Durham,2023,NHOther,Female,Population Age 70-74,3453,Estimate,2023,37063
Durham,2024,NHOther,Female,Population Age 75-79,2267,Projection,2024,37063
Durham,2025,Hispanic,Female,Population Age 75-79,242,Projection,2024,37063
Camden,2023,NHOther,Male,Population Age 75-79,47,Estimate,2023,37029
Camden,2024,NHOther,Female,Population Age 75-79,46,Projection,2024,37029
Camden,2025,NHOther,Male,Population Age 70-74,59,Projection,2024,37029
Gates,2024,NHWhite,Female,Population Age 70-74,176,Projection,2024,37073
Duplin,2023,NHOther,Female,Population Age 65-69,623,Estimate,2023,37061
Duplin,2024,NHWhite,Male,Population Age 65-69,852,Projection,2024,37061
Montgomery,2023,Hispanic,Female,Population Age 65-69,24,Estimate,2023,37123
Montgomery,2024,NHWhite,Female,Population Age 65-69,739,Projection,2024,37123
Duplin,2023,NHOther,Male,Population Age 70-74,301,Estimate,2023,37061
Hertford,2023,NHWhite,Female,Population Age 65-69,241,Estimate,2023,37091
Durham,2023,Hispanic,Male,Population Age 65-69,462,Estimate,2023,37063
Martin,2023,NHWhite,Female,Population Age 65-69,486,Estimate,2023,37117
Alexander,2024,NHOther,Male,Population Age 65-69,73,Projection,2024,37003
Alexander,2025,NHWhite,Male,Population Age 65-69,1026,Projection,2024,37003
Lincoln,2025,NHWhite,Male,Population Age 70-74,2270,Projection,2024,37109
Alleghany,2025,NHOther,Female,Population Age 65-69,17,Projection,2024,37005
Johnston,2024,NHWhite,Male,Population Age 75-79,2460,Projection,2024,37101
Lincoln,2023,NHWhite,Female,Population Age 65-69,2916,Estimate,2023,37109
Jones,2025,NHOther,Female,Population Age 65-69,170,Projection,2024,37103
Macon,2023,Hispanic,Female,Population Age 70-74,23,Estimate,2023,37113
Macon,2025,NHWhite,Female,Population Age 70-74,1691,Projection,2024,37113
Alamance,2024,NHWhite,Male,Population Age 75-79,2046,Projection,2024,37001
Alamance,2025,Hispanic,Female,Population Age 65-69,337,Projection,2024,37001
Henderson,2023,Hispanic,Female,Population Age 75-79,86,Estimate,2023,37089
Alleghany,2025,Hispanic,Male,Population Age 65-69,27,Projection,2024,37005
Alleghany,2025,NHOther,Male,Population Age 65-69,13,Projection,2024,37005
Johnston,2025,NHWhite,Female,Population Age 75-79,3358,Projection,2024,37101
New Hanover,2025,Hispanic,Female,Population Age 75-79,123,Projection,2024,37129
New Hanover,2025,NHOther,Male,Population Age 65-69,1214,Projection,2024,37129
Graham,2023,Hispanic,Female,Population Age 70-74,2,Estimate,2023,37075
Davidson,2025,Hispanic,Male,Population Age 65-69,199,Projection,2024,37057
Haywood,2023,Hispanic,Female,Population Age 75-79,12,Estimate,2023,37087
Cleveland,2025,NHWhite,Female,Population Age 70-74,2156,Projection,2024,37045
Cleveland,2025,NHWhite,Male,Population Age 65-69,2192,Projection,2024,37045
Cleveland,2025,Hispanic,Male,Population Age 65-69,44,Projection,2024,37045
Northampton,2024,NHWhite,Female,Population Age 75-79,315,Projection,2024,37131
Hoke,2025,NHOther,Female,Population Age 75-79,432,Projection,2024,37093
Montgomery,2024,Hispanic,Female,Population Age 75-79,7,Projection,2024,37123
Davie,2023,NHWhite,Male,Population Age 65-69,1258,Estimate,2023,37059
Davie,2024,NHWhite,Male,Population Age 65-69,1261,Projection,2024,37059
Moore,2023,NHOther,Female,Population Age 75-79,384,Estimate,2023,37125
Hoke,2024,Hispanic,Female,Population Age 75-79,24,Projection,2024,37093
Hoke,2025,NHOther,Female,Population Age 65-69,854,Projection,2024,37093
Mitchell,2025,NHWhite,Male,Population Age 70-74,453,Projection,2024,37121
Anson,2025,NHOther,Female,Population Age 65-69,316,Projection,2024,37007
Johnston,2023,NHWhite,Female,Population Age 75-79,3008,Estimate,2023,37101
Johnston,2024,Hispanic,Female,Population Age 75-79,102,Projection,2024,37101
Beaufort,2024,NHWhite,Female,Population Age 70-74,1297,Projection,2024,37013
Cumberland,2025,NHWhite,Female,Population Age 75-79,2435,Projection,2024,37051
Currituck,2024,NHWhite,Male,Population Age 65-69,1001,Projection,2024,37053
Robeson,2024,NHWhite,Male,Population Age 65-69,933,Projection,2024,37155
Caldwell,2024,NHWhite,Female,Population Age 70-74,2318,Projection,2024,37027
Hyde,2024,NHWhite,Male,Population Age 70-74,124,Projection,2024,37095
Hyde,2024,NHOther,Male,Population Age 65-69,45,Projection,2024,37095
Hyde,2025,NHWhite,Male,Population Age 65-69,142,Projection,2024,37095
Polk,2025,NHOther,Female,Population Age 75-79,46,Projection,2024,37149
Jones,2025,Hispanic,Male,Population Age 75-79,0,Projection,2024,37103
Buncombe,2023,NHOther,Female,Population Age 65-69,996,Estimate,2023,37021
Buncombe,2025,Hispanic,Male,Population Age 65-69,287,Projection,2024,37021
Guilford,2023,NHOther,Male,Population Age 70-74,3135,Estimate,2023,37081
Camden,2023,Hispanic,Female,Population Age 75-79,1,Estimate,2023,37029
Jones,2023,NHWhite,Female,Population Age 75-79,150,Estimate,2023,37103
Jones,2024,NHOther,Female,Population Age 65-69,169,Projection,2024,37103
Randolph,2025,Hispanic,Female,Population Age 65-69,184,Projection,2024,37151
Cumberland,2024,Hispanic,Female,Population Age 70-74,292,Projection,2024,37051
McDowell,2025,NHOther,Female,Population Age 70-74,133,Projection,2024,37111
Currituck,2024,NHWhite,Male,Population Age 70-74,702,Projection,2024,37053
Cherokee,2025,NHOther,Male,Population Age 75-79,79,Projection,2024,37039
Gates,2023,Hispanic,Male,Population Age 75-79,2,Estimate,2023,37073
Gates,2025,NHWhite,Female,Population Age 70-74,191,Projection,2024,37073
Carteret,2023,NHOther,Male,Population Age 70-74,212,Estimate,2023,37031
Carteret,2024,NHOther,Female,Population Age 70-74,226,Projection,2024,37031
Carteret,2025,NHWhite,Male,Population Age 70-74,2520,Projection,2024,37031
Iredell,2023,Hispanic,Female,Population Age 75-79,108,Estimate,2023,37097
Iredell,2024,Hispanic,Male,Population Age 65-69,238,Projection,2024,37097
Duplin,2023,Hispanic,Female,Population Age 65-69,135,Estimate,2023,37061
Franklin,2025,NHWhite,Female,Population Age 70-74,1633,Projection,2024,37069
Buncombe,2023,Hispanic,Male,Population Age 75-79,69,Estimate,2023,37021
Buncombe,2025,NHOther,Female,Population Age 70-74,976,Projection,2024,37021
Ashe,2025,Hispanic,Male,Population Age 65-69,16,Projection,2024,37009
Richmond,2025,NHOther,Female,Population Age 70-74,424,Projection,2024,37153
Beaufort,2024,NHWhite,Female,Population Age 75-79,1071,Projection,2024,37013
