County,Year,Hispanic/Race,Sex,Age Group,Value,Estimate/Projection,vintage,fips
Alamance,2025,NHOther,Female,Population Age 05-09,1421,Projection,2024,37001
Alamance,2025,NHOther,Female,Population Age 25-29,1491,Projection,2024,37001
Alleghany,2025,NHWhite,Male,Population Age 35-39,313,Projection,2024,37005
Alamance,2025,NHWhite,Male,Population Age 45-49,2561,Projection,2024,37001
Alleghany,2025,Hispanic,Female,Population Age 25-29,40,Projection,2024,37005
Anson,2025,NHWhite,Female,Population Age 80-84,233,Projection,2024,37007
Alexander,2025,NHWhite,Male,Population Age 55-59,1099,Projection,2024,37003
Alexander,2025,Hispanic,Male,Population Age 55-59,57,Projection,2024,37003
Alexander,2025,NHOther,Female,Population Age 50-54,78,Projection,2024,37003
Beaufort,2025,NHWhite,Female,Population Age 75-79,1100,Projection,2024,37013
Alleghany,2025,NHWhite,Male,Population Age 50-54,293,Projection,2024,37005
Alleghany,2025,Hispanic,Female,Population Age 60-64,25,Projection,2024,37005
Alleghany,2025,NHOther,Male,Population Age 05-09,1,Projection,2024,37005
Alleghany,2025,NHOther,Male,Population Age 25-29,13,Projection,2024,37005
Alleghany,2025,NHOther,Female,Population Age 10-14,8,Projection,2024,37005
Ashe,2025,Hispanic,Female,Population Age 40-44,32,Projection,2024,37009
Anson,2025,Hispanic,Female,Population Age 30-34,20,Projection,2024,37007
Anson,2025,Hispanic,Male,Population Age 45-49,25,Projection,2024,37007
Ashe,2025,NHWhite,Female,Population Age 15-19,645,Projection,2024,37009
Ashe,2025,Hispanic,Female,Population Age 05-09,88,Projection,2024,37009
Anson,2025,NHOther,Female,Population Age 60-64,307,Projection,2024,37007
Ashe,2025,NHWhite,Female,Population Age 75-79,946,Projection,2024,37009
Alamance,2025,NHOther,Male,Population Age 55-59,1414,Projection,2024,37001
Montgomery,2025,Hispanic,Male,Population Age 20-24,287,Projection,2024,37123
Harnett,2025,Hispanic,Female,Population Age 40-44,859,Projection,2024,37085
Moore,2025,NHOther,Female,Population Age 00-04,446,Projection,2024,37125
Martin,2025,Hispanic,Female,Population Age 10-14,46,Projection,2024,37117
Harnett,2025,NHWhite,Male,Population Age 15-19,2815,Projection,2024,37085
Alamance,2025,Hispanic,Female,Population Age 60-64,418,Projection,2024,37001
Moore,2025,NHOther,Female,Population Age 10-14,587,Projection,2024,37125
Moore,2025,NHOther,Male,Population Age 60-64,532,Projection,2024,37125
Alexander,2025,Hispanic,Female,Population Age 05-09,128,Projection,2024,37003
Alexander,2025,Hispanic,Male,Population Age 45-49,69,Projection,2024,37003
Alexander,2025,NHOther,Male,Population Age 75-79,41,Projection,2024,37003
Lenoir,2025,NHOther,Male,Population Age 40-44,551,Projection,2024,37107
Alleghany,2025,NHOther,Male,Population Age 00-04,12,Projection,2024,37005
Lincoln,2025,NHOther,Female,Population Age 20-24,262,Projection,2024,37109
Currituck,2025,NHWhite,Male,Population Age 60-64,1160,Projection,2024,37053
Currituck,2025,NHOther,Female,Population Age 00-04,105,Projection,2024,37053
Martin,2025,NHWhite,Female,Population Age 30-34,338,Projection,2024,37117
Martin,2025,NHWhite,Male,Population Age 25-29,274,Projection,2024,37117
Martin,2025,Hispanic,Male,Population Age 80-84,4,Projection,2024,37117
