County,Region,Year,Race,Age 65 Plus,Total
Alexander,Western North Carolina,2025.0,Asian & Pacific Islander,35.0,438.0
Alamance,Central North Carolina,2025.0,Other,220.0,8688.0
Burke,Western North Carolina,2025.0,Black,953.0,5184.0
,,,,,
"35.""",Projection,,,,
Alamance,Central North Carolina,2025.0,White,25378.0,129695.0
Henderson,Western North Carolina,2025.0,Black,967.0,4451.0
,,,,,
"[""",Projection,,,,
Jackson,Western North Carolina,2025.0,Asian & Pacific Islander,106.0,675.0
,,,,,
"35.172""",Projection,,,,
Madison,Western North Carolina,2025.0,Black,5.0,251.0
,,,,,
"[""",Projection,,,,
Avery,Western North Carolina,2025.0,Black,93.0,710.0
Alamance,Central North Carolina,2025.0,Black,6671.0,39947.0
Alamance,Central North Carolina,2025.0,Asian & Pacific Islander,704.0,4012.0
Davie,Central North Carolina,2025.0,White,9639.0,39808.0
Cumberland,Eastern North Carolina,2025.0,White,25406.0,161147.0
,,,,,
"[-78.""",Projection,,,,
Johnston,Eastern North Carolina,2025.0,Asian & Pacific Islander,451.0,3171.0
,,,,,
Projection,2024,,,,
Graham,Western North Carolina,2025.0,White,1951.0,6976.0
,,,,,
"[""",Projection,,,,
Ashe,Western North Carolina,2025.0,White,7585.0,25344.0
,,,,,
"36.5""",Projection,,,,
Bladen,Eastern North Carolina,2025.0,White,4838.0,18134.0
,,,,,
Projection,2024,,,,
Harnett,Eastern North Carolina,2025.0,White,15409.0,102535.0
,,,,,
"[-79.""",Projection,,,,
Jones,Eastern North Carolina,2025.0,Other,71.0,483.0
,,,,,
"[""",Projection,,,,
Lenoir,Eastern North Carolina,2025.0,White,7133.0,29126.0
Lincoln,Western North Carolina,2025.0,Black,965.0,5402.0
Carteret,Eastern North Carolina,2025.0,Black,704.0,3289.0
Forsyth,Central North Carolina,2025.0,Other,490.0,17861.0
Haywood,Western North Carolina,2025.0,White,16470.0,60260.0
,,,,,
Projection,2024,,,,
Hoke,Eastern North Carolina,2025.0,Black,2917.0,18962.0
,,,,,
Projection,2024,,,,
Hyde,Eastern North Carolina,2025.0,Other,20.0,208.0
,,,,,
"35.6""",Projection,,,,
Burke,Western North Carolina,2025.0,White,18401.0,76264.0
,,,,,
"35.""",Projection,,,,
Bladen,Eastern North Carolina,2025.0,Other,168.0,1280.0
,,,,,
Projection,2024,,,,
Cumberland,Eastern North Carolina,2025.0,American Indian / Alaska Native,818.0,7080.0
,,,,,
"[-78.""",Projection,,,,
Beaufort,Eastern North Carolina,2025.0,Other,263.0,1669.0
,,,,,
