County,Estimated Pop 2023,Projected Pop 2024,Projected Pop 2025
Alleghany,2463,2502,2548
Anson,3450,3471,3495
Ashe,5845,5962,6020
Alamance,24363,25006,25765
Martin,4392,4393,4380
Durham,40638,42046,43422
Camden,1575,1598,1637
Duplin,7809,7988,8165
Montgomery,4664,4739,4818
Hertford,3120,3130,3170
Lincoln,15025,15715,16403
Macon,8760,8975,9162
Henderson,25190,25811,26465
Graham,1490,1500,1524
Haywood,12987,13258,13531
Davie,7603,7794,7995
Moore,19547,20169,20689
Johnston,28220,29686,31117
Buncombe,47503,48753,49948
Guilford,70057,72000,73895
Jones,1862,1898,1911
Gates,1857,1909,1974
Carteret,16090,16693,17271
Iredell,27836,29022,30194
Clay,3028,3048,3095
Columbus,8359,8478,8575
Perquimans,2928,2958,2976
Bertie,3259,3300,3313
McDowell,7724,7845,7974
Bladen,5474,5537,5582
Beaufort,9111,9182,9248
Dare,8448,8749,9040
Tyrrell,665,671,689
Rockingham,15878,16223,16552
Avery,3219,3269,3319
Davidson,26563,27312,28057
Cleveland,15582,15735,15974
Mitchell,2988,2987,2980
Craven,16817,16926,17012
Cumberland,35556,36391,37240
Harnett,15517,16230,16897
Currituck,4817,5121,5421
Pamlico,3062,3122,3180
Hoke,5593,5852,6089
Hyde,953,980,988
Watauga,7779,7968,8167
Granville,9108,9405,9671
Madison,4124,4190,4244
Alexander,5923,6011,6109
Greene,2911,2994,3067
Franklin,11455,12144,12868
Nash,15540,15843,16127
Polk,4602,4670,4744
Cabarrus,26927,27914,28938
Sampson,8745,8909,9111
Union,27720,28877,30136
Rutherford,11548,11729,11920
New Hanover,38335,39709,41053
Yadkin,6091,6206,6349
Catawba,24828,25432,26108
Surry,11808,11962,12128
Transylvania,7969,8062,8124
Caswell,4200,4250,4300
Brunswick,52641,57240,61631
Vance,6550,6589,6610
Wayne,16206,16502,16828
Onslow,17293,17806,18290
Wilkes,11759,11908,12047
Northampton,3743,3768,3775
Forsyth,53623,55096,56606
Chowan,2840,2872,2895
Burke,14947,15351,15813
Pitt,20938,21470,21980
Richmond,6245,6303,6346
Mecklenburg,115966,121041,126212
Chatham,16043,16535,17030
Cherokee,7701,7881,8051
Rowan,22173,22813,23486
Orange,19824,20474,21060
Randolph,21881,22352,22845
Robeson,15374,15523,15648
Jackson,7348,7474,7628
Pasquotank,6190,6280,6371
Pender,10555,11062,11472
Lee,9439,9862,10298
Wilson,12088,12254,12425
Halifax,8275,8363,8433
Edgecombe,8318,8402,8481
Lenoir,9126,9256,9337
Scotland,4969,4939,4935
Stokes,8130,8289,8486
Washington,2353,2338,2329
Yancey,3806,3844,3872
Gaston,31719,32530,33421
Wake,126616,132286,138333
Caldwell,13792,14012,14231
Warren,3992,4027,4040
Person,6794,6990,7147
Stanly,9849,9996,10171
Swain,2162,2147,2149
