,County/Parish,Condition,Count,Percent_Condition
0,Buncombe,All other conditions,321.0,26.140065146579804
1,Buncombe,Brain disease or condition (non-traumatic),57.0,4.641693811074918
2,Buncombe,Brain injury (traumatic),82.0,6.677524429967427
3,Buncombe,Hip or femur fracture,136.0,11.074918566775244
4,Buncombe,"Hip or knee replacement, amputation or other bone or joint condition",187.0,15.228013029315962
5,Buncombe,Nervous system disorder (excluding stroke),86.0,7.0032573289902285
6,Buncombe,Spinal cord disease or condition (non-traumatic),55.0,4.478827361563518
7,Buncombe,Spinal cord injury (traumatic),22.0,1.7915309446254073
8,Buncombe,Stroke,282.0,22.964169381107492
9,Catawba,All other conditions,69.0,22.62295081967213
10,Catawba,Brain disease or condition (non-traumatic),20.0,6.557377049180328
11,Catawba,Hip or femur fracture,21.0,6.885245901639345
12,Catawba,"Hip or knee replacement, amputation or other bone or joint condition",39.0,12.786885245901638
13,Catawba,Nervous system disorder (excluding stroke),48.0,15.737704918032788
14,Catawba,Spinal cord disease or condition (non-traumatic),18.0,5.901639344262295
15,Catawba,Stroke,90.0,29.508196721311474
16,Craven,All other conditions,48.0,26.229508196721312
17,Craven,Hip or femur fracture,36.0,19.672131147540984
18,Craven,"Hip or knee replacement, amputation or other bone or joint condition",31.0,16.939890710382514
19,Craven,Nervous system disorder (excluding stroke),15.0,8.19672131147541
20,Craven,Stroke,53.0,28.96174863387978
21,Cumberland,All other conditions,104.0,19.18819188191882
22,Cumberland,Brain disease or condition (non-traumatic),54.0,9.96309963099631
23,Cumberland,Brain injury (traumatic),21.0,3.8745387453874542
24,Cumberland,Hip or femur fracture,68.0,12.546125461254611
25,Cumberland,"Hip or knee replacement, amputation or other bone or joint condition",113.0,20.84870848708487
26,Cumberland,Nervous system disorder (excluding stroke),35.0,6.4575645756457565
27,Cumberland,Spinal cord disease or condition (non-traumatic),29.0,5.350553505535055
28,Cumberland,Stroke,118.0,21.771217712177123
29,Durham,All other conditions,70.0,21.875
30,Durham,Brain disease or condition (non-traumatic),38.0,11.875
31,Durham,Hip or femur fracture,29.0,9.0625
32,Durham,"Hip or knee replacement, amputation or other bone or joint condition",43.0,13.4375
33,Durham,Nervous system disorder (excluding stroke),16.0,5.0
34,Durham,Spinal cord disease or condition (non-traumatic),41.0,12.812499999999998
35,Durham,Stroke,83.0,25.937500000000004
36,Forsyth,All other conditions,352.0,23.342175066312997
37,Forsyth,Brain disease or condition (non-traumatic),103.0,6.830238726790451
38,Forsyth,Brain injury (traumatic),58.0,3.8461538461538463
39,Forsyth,Hip or femur fracture,114.0,7.5596816976127315
40,Forsyth,"Hip or knee replacement, amputation or other bone or joint condition",223.0,14.787798408488065
41,Forsyth,Nervous system disorder (excluding stroke),128.0,8.488063660477453
42,Forsyth,Spinal cord disease or condition (non-traumatic),94.0,6.23342175066313
43,Forsyth,Stroke,436.0,28.912466843501328
