,Ownership Type,County,Region
0,For profit,Catawba,Western North Carolina
1,For profit,Forsyth,Central North Carolina
2,For profit,Vance,Central North Carolina
3,Government,Mecklenburg,Central North Carolina
4,Government,Craven,Eastern North Carolina
5,Government,Durham,Central North Carolina
6,Government,Nash,Eastern North Carolina
7,Government,Orange,Central North Carolina
8,Non-profit,Forsyth,Central North Carolina
9,Non-profit,Guilford,Central North Carolina
10,Non-profit,Buncombe,Western North Carolina
11,Non-profit,Catawba,Western North Carolina
12,Non-profit,Cumberland,Eastern North Carolina
13,Non-profit,Lenoir,Eastern North Carolina
14,Non-profit,Mecklenburg,Central North Carolina
15,Non-profit,Moore,Central North Carolina
16,Non-profit,Pitt,Eastern North Carolina
17,Non-profit,Rowan,Central North Carolina
18,Non-profit,Wake,Central North Carolina
