County,Region,Year,Race,Age 65 Plus,Total
Alexander,Western North Carolina,2025,Asian & Pacific Islander,35,438
Alamance,Central North Carolina,2025,Other,220,8688
Burke,Western North Carolina,2025,Black,953,5184
Alamance,Central North Carolina,2025,White,25378,129695
Henderson,Western North Carolina,2025,Black,967,4451
Jackson,Western North Carolina,2025,Asian & Pacific Islander,106,675
Madison,Western North Carolina,2025,Black,5,251
Avery,Western North Carolina,2025,Black,93,710
Alamance,Central North Carolina,2025,Black,6671,39947
Alamance,Central North Carolina,2025,Asian & Pacific Islander,704,4012
Davie,Central North Carolina,2025,White,9639,39808
Cumberland,Eastern North Carolina,2025,White,25406,161147
Johnston,Eastern North Carolina,2025,Asian & Pacific Islander,451,3171
Graham,Western North Carolina,2025,White,1951,6976
Ashe,Western North Carolina,2025,White,7585,25344
Bladen,Eastern North Carolina,2025,White,4838,18134
Harnett,Eastern North Carolina,2025,White,15409,102535
Jones,Eastern North Carolina,2025,Other,71,483
Lenoir,Eastern North Carolina,2025,White,7133,29126
Lincoln,Western North Carolina,2025,Black,965,5402
Carteret,Eastern North Carolina,2025,Black,704,3289
Forsyth,Central North Carolina,2025,Other,490,17861
Haywood,Western North Carolina,2025,White,16470,60260
Hoke,Eastern North Carolina,2025,Black,2917,18962
Hyde,Eastern North Carolina,2025,Other,20,208
Burke,Western North Carolina,2025,White,18401,76264
Bladen,Eastern North Carolina,2025,Other,168,1280
Cumberland,Eastern North Carolina,2025,American Indian / Alaska Native,818,7080
Beaufort,Eastern North Carolina,2025,Other,263,1669
Iredell,Western North Carolina,2025,Black,3736,24339
Johnston,Eastern North Carolina,2025,White,30146,193562
Alexander,Western North Carolina,2025,Black,363,2034
Camden,Eastern North Carolina,2025,Other,118,888
Buncombe,Western North Carolina,2025,White,57666,245397
Brunswick,Eastern North Carolina,2025,Asian & Pacific Islander,547,1471
Alleghany,Western North Carolina,2025,Other,82,716
Durham,Central North Carolina,2025,Other,423,14541
Granville,Central North Carolina,2025,Other,283,2708
Lenoir,Eastern North Carolina,2025,Black,4728,22122
